feature,lasso_abs,ridge_abs,enet_abs,lasso_signed
GarageYrBlt,0.0003028803144710134,0.0004521611892762678,0.0003164120783072517,-0.0003028803144710134
3SsnPorch,0.0002608597391858007,0.003174009572558603,0.00040607455374356725,0.0002608597391858007
Exterior2nd_Plywood,0.00010163810905827526,0.004986306716725586,0.00039808684359897114,-0.00010163810905827526
MoSold_9,9.037899439896434e-05,0.007699754061313836,0.0004329634632618223,-9.037899439896434e-05
BsmtCond,0.0,0.0015122333260887272,0.0,-0.0
LandSlope,0.0,0.007423198433471851,0.0,0.0
LotShape,0.0,0.0024371376943346304,0.0,-0.0
BsmtFinSF1,0.0,0.0084445784066364,0.0,0.0
IsNew,0.0,0.00985068835627953,0.0,-0.0
GarageYrBlt_missing,0.0,2.5422126542454238e-05,0.0,0.0
TotalSF,0.0,0.029334823494849227,0.0,0.0
PoolQC,0.0,0.010735268251679732,0.0,0.0
TotalBsmtSF,0.0,0.0026667196451118716,0.0,0.0
MSSubClass_160,0.0,0.01700987602169473,0.0,-0.0
ExterQual_x_TotalSF,0.0,0.014713886058081466,0.0,0.0
GrLivArea_by_TotalSF,0.0,0.01858674005641684,0.0,0.0
OverallQual_x_GrLivArea,0.0,0.025591141189902758,0.0,0.0
OverallQual_x_TotalSF,0.0,0.02574236633290712,0.0,0.0
Has2ndFloor,0.0,0.011148469087675986,0.0,-0.0
HasPool,0.0,0.0006680964582631583,0.0,0.0
IsRemodeled,0.0,0.005956286278875719,0.0,-0.0
BsmtFullBath,0.0,0.000888495203005428,0.0,0.0
BsmtHalfBath,0.0,0.009669524462572314,0.0,-0.0
FullBath,0.0,0.004697045274557249,0.0,-0.0
Neighborhood_NAmes,0.0,0.014540032663811701,0.0,0.0
Neighborhood_NPkVill,0.0,0.018462406955057437,0.0,0.0
Neighborhood_IDOTRR,0.0,0.03890096657744273,0.0,-0.0
Neighborhood_MeadowV,0.0,0.03692981375487978,0.0,-0.0
Neighborhood_Gilbert,0.0,0.02284643502935201,0.0,-0.0
Neighborhood_BrDale,0.0,0.005821040245945052,0.0,0.0
Neighborhood_Blmngtn,0.0,0.004569172674435504,0.0,-0.0
Neighborhood_Blueste,0.0,0.00391925654555253,0.0,0.0
LandContour_Bnk,0.0,0.004615183086943173,0.0,0.0
Alley_None,0.0,0.007699157145237227,0.0,-0.0
Alley_Grvl,0.0,0.007235310095130249,0.0,-0.0
LandContour_HLS,0.0,0.01506763786749026,0.0,0.0
LandContour_Lvl,0.0,0.0037718308013183557,0.0,-0.0
LandContour_Low,0.0,0.015910990153115083,0.0,-0.0
LotConfig_FR3,0.0,0.013461983557633754,0.0,-0.0
LotConfig_Inside,0.0,0.0017090554920805717,0.0,-0.0
MSZoning_RL,0.0,0.03737578445079687,0.0,0.0
Street_Grvl,0.0,0.021832568366005466,0.0,-0.0
Street_Pave,0.0,0.021832568366005466,0.0,0.0
KitchenQual_x_TotalSF,0.0,0.00825383554731135,0.0,0.0
MSSubClass_40,0.0,0.002962247105131927,0.0,-0.0
MSSubClass_180,0.0,0.004205204569768359,0.0,0.0
MSSubClass_190,0.0,0.008415494126602537,0.0,-0.0
MSSubClass_20,0.0,0.010098312595072358,0.0,0.0
MSSubClass_60,0.0,0.002555734677872623,0.0,-0.0
MSSubClass_50,0.0,0.009711518340736858,0.0,0.0
MSSubClass_45,0.0,0.0020748940420636398,0.0,0.0
MSSubClass_70,0.0,0.02223021854715546,0.0005071236911625989,0.0
MSSubClass_85,0.0,9.280598246822532e-05,0.0,-0.0
MSSubClass_80,0.0,0.0013489569524851135,0.0,0.0
MSSubClass_75,0.0,0.0002301801764044327,0.0,-0.0
MSZoning_RH,0.0,0.030988983850896056,0.0,0.0
HasFireplace,0.0,0.0024385767334539135,0.0,0.0
HasBasement,0.0,0.015185587898711987,0.0,-0.0
HasGarage,0.0,2.5422126542454238e-05,0.0,-0.0
HouseStyle_2.5Fin,0.0,0.001672385270039925,0.0,0.0
HouseStyle_1.5Unf,0.0,0.011642738124933848,0.0,0.0
HouseStyle_1.5Fin,0.0,0.009150544886049952,0.0,-0.0
BldgType_TwnhsE,0.0,0.004445469502790983,0.0,0.0
HouseStyle_1Story,0.0,0.005779110760940134,0.0,0.0
RoofStyle_Shed,0.0,0.0013899584993466887,0.0,-0.0
RoofMatl_CompShg,0.0,0.011591964297579782,0.0,-0.0
RoofMatl_WdShake,0.0,0.007114015734851996,0.0,-0.0
RoofStyle_Flat,0.0,0.003580594555585414,0.0,0.0
RoofStyle_Gable,0.0,0.0010615170469946908,0.0,-0.0
RoofStyle_Gambrel,0.0,0.02373785086572565,0.0,-0.0
RoofStyle_Mansard,0.0,0.009438151174798523,0.0,0.0
BldgType_Twnhs,0.0,0.006121194528757954,0.0,-0.0
HouseStyle_2Story,0.0,0.007566905431165862,0.0,-0.0
HouseStyle_2.5Unf,0.0,0.004135886623385099,0.0,0.0
Condition1_RRNe,0.0,0.004018902807258328,0.0,-0.0
Condition1_RRNn,0.0,0.0074571460562734195,0.0,0.0
Condition2_Feedr,0.0,0.0018705112441483058,0.0,0.0
Condition2_Artery,0.0,0.004940251708172657,0.0,-0.0
